Analyse_Nom;Sousgroupe;GroupeValidation;Sexe;Agedebut;Agefin;UsuelleBasse;UsuelleHaute;AlarmeBasse;AlarmeHaute;RepassBasse;RepassHaute;Deltapourcent;DeltaAbsolu;DeltaBloquant;Autovalidation;SeuilJours;SeuilRepassage;SeuilRepassage2;SeuilRepassage3;RepassCalc1;RepassCalc2;Fourchette1;Fourchette2;Fourchette3
FERRI;0;GG;;;;30;400;25;450;;;;;1;1;;7.025;9.828;7.781;126.441;326.377;[... - 126.441];]126.441 - 326.377];]326.377 - ...]
AUAP;0;GG;;;;200;420;150;450;;;;;1;1;;8;;;;;[... - ...];;
AUAV;0;GG;;;;200;420;150;450;;;;;1;1;;8;;;;;[... - ...];;
AUAP;1;GG;2;;;140;360;100;400;;;;;1;1;;8;;;;;[... - ...];;
AUAV;1;GG;2;;;140;360;100;400;;;;;1;1;;8;;;;;[... - ...];;
CO2AP;0;GG;;;;22;29;20;30;;;;;1;1;;8.9;;;;;[... - ...];;
CO2AV;0;GG;;;;22;29;20;30;;;;;1;1;;8.9;;;;;[... - ...];;
CAAP;0;GG;;;;2.15;2.5;2.1;2.6;;;;;1;1;;7.5;;;;;[... - ...];;
CAAV;0;GG;;;;2.15;2.5;2.1;2.6;;;;;1;1;;7.5;;;;;[... - ...];;
CLAP;0;GG;;;;98;107;95;110;;;;;1;1;;5;;;;;[... - ...];;
CLAV;0;GG;;;;98;107;95;110;;;;;1;1;;5;;;;;[... - ...];;
MGAP;0;GG;;;;.66;1;.6;1.2;;;;;1;1;;8.1;;;;;[... - ...];;
MGAV;0;GG;;;;.66;1;.6;1.2;;;;;1;1;;8.1;;;;;[... - ...];;
PAV;0;GG;;;;.87;1.45;.8;1.6;;;;;1;1;;9;;;;;[... - ...];;
PAPD;0;GG;;;;.87;1.45;.8;1.6;;;;;1;1;;9;;;;;[... - ...];;
KAP;0;GG;;;;3.4;4.5;3.3;4.6;;;;;1;1;;8;;;;;[... - ...];;
KAV;0;GG;;;;3.4;4.5;3.3;4.6;;;;;1;1;;8;;;;;[... - ...];;
PROTAP;0;GG;;;;64;83;60;85;;;;;1;1;;6.5;;;;;[... - ...];;
PROTAV;0;GG;;;;64;83;60;85;;;;;1;1;;6.5;;;;;[... - ...];;
NAAP;0;GG;;;;136;145;134;146;;;;;1;1;;3.6;;;;;[... - ...];;
NAAV;0;GG;;;;136;145;134;146;;;;;1;1;;3.6;;;;;[... - ...];;
UAP;0;GG;;;;2.8;8.1;2.5;8.5;;;;;1;1;;13;;;;;[... - ...];;
UAV;0;GG;;;;2.8;8.1;2.5;8.5;;;;;1;1;;13;;;;;[... - ...];;
indHBSag;0;GG;;;;0;.9;0;.9;;;;;1;1;;18.463;4.928;0;2.141;0;[... -2.141];]2.141 - ...];
indAHBC;0;GG;;;;1;1000;1;1000;;;;;1;1;;8.616;0;0;2.38;0;[... - ...];;
iHAVM;0;GG;;;;0;1;0;1;;;;;1;1;;;;;;;;;
indHCV;0;GG;;;;0;.9;0;.9;;;;;1;1;;21.596;10.088;0;2.283;0;[... -2.283];]2.283 - ...];
CMVG1;0;GG;;;;0;1;0;1;;;;;1;1;;13.401;11.978;0;12.307;0;[... -12.307];]12.307 - ...];
indHTLV;0;GG;;;;0;1;0;1;;;;;1;1;;7.776;10.116;7.91;1.238;3.622;[... - 1.238];]1.238 - 3.622];]3.622 - ...]
indHIV;0;GG;;;;0;.9;0;.9;;;;;1;1;;24.464;9.708;8.915;1.793;6.671;[... - 1.793];]1.793 - 6.671];]6.671 - ...]
TOXOG1;0;GG;;;;0;1;0;1;;;;;1;1;;16.321;8.879;0;28.826;0;[... -28.826];]28.826 - ...];
LDHI;0;GG;;;;135;225;100;250;50;400;;;1;1;;4.351;5.558;3.2;174.611;334.768;[... - 174.611];]174.611 - 334.768];]334.768 - ...]
LDHI;1;GG;2;;;135;214;100;250;50;400;;;1;1;;4.351;5.558;3.2;174.611;334.768;[... - 174.611];]174.611 - 334.768];]334.768 - ...]
LDHI;2;GG;;4;20;225;600;200;610;50;700;;;1;1;;4.351;5.558;3.2;174.611;334.768;[... - 174.611];]174.611 - 334.768];]334.768 - ...]
LDHI;3;GG;;20;150000;120;300;100;400;50;500;;;1;1;;4.351;5.558;3.2;174.611;334.768;[... - 174.611];]174.611 - 334.768];]334.768 - ...]
indCMVM;0;GG;;;;0;1;0;1;;;;;1;1;;12.023;14.804;0;1.05;0;[... -1.05];]1.05 - ...];
indTPHA;0;GG;;;;0;.8;0;.8;;;;;1;1;;4.091;9.559;0;2.04;0;[... -2.04];]2.04 - ...];
HCG;1;GG;1;;;0;2.6;0;2.6;;;;;1;1;;10.195;8.742;9.741;15.702;268.777;[... - 15.702];]15.702 - 268.777];]268.777 - ...]
CORT16;1;GG;;;;2.7;10.5;2.7;10.5;;;;;1;1;;10.3;;;;;[... - ...];;
FERRI;1;GG;2;;;13;150;10;200;;;;;1;1;;7.025;9.828;7.781;126.441;326.377;[... - 126.441];]126.441 - 326.377];]326.377 - ...]
FOL;0;GG;;;;8.83;60.8;8;70;;;;;1;1;;20.709;17.648;12.925;8.668;17.531;[... - 8.668];]8.668 - 17.531];]17.531 - ...]
FSH;0;GG;;;;1.5;12.4;1.5;12.4;;;;;1;1;;8.666;8.033;7.196;14.012;32.223;[... - 14.012];]14.012 - 32.223];]32.223 - ...]
FSH;1;GG;2;;;;;;;;;;;1;1;;8.666;8.033;7.196;14.012;32.223;[... - 14.012];]14.012 - 32.223];]32.223 - ...]
IGE;2;GG;;;;0;100;0;100;;;;;1;1;;6.779;6.418;6.471;68.473;158.915;[... - 68.473];]68.473 - 158.915];]158.915 - ...]
IGE;3;GG;;0;10000;0;15;0;15;;;;;1;1;;6.779;6.418;6.471;68.473;158.915;[... - 68.473];]68.473 - 158.915];]158.915 - ...]
IGE;4;GG;;10001;50000;0;60;0;60;;;;;1;1;;6.779;6.418;6.471;68.473;158.915;[... - 68.473];]68.473 - 158.915];]158.915 - ...]
IGE;5;GG;;50001;90000;0;90;0;90;;;;;1;1;;6.779;6.418;6.471;68.473;158.915;[... - 68.473];]68.473 - 158.915];]158.915 - ...]
IGE;6;GG;;90001;150000;0;200;0;200;;;;;1;1;;6.779;6.418;6.471;68.473;158.915;[... - 68.473];]68.473 - 158.915];]158.915 - ...]
THEO;1;GG;;100000;150000;8;14;8;14;;;;;1;1;;14.339;12.586;10.262;10.231;20.079;[... - 10.231];]10.231 - 20.079];]20.079 - ...]
THEO;2;GG;;;;8;20;8;20;;;;;1;1;;14.339;12.586;10.262;10.231;20.079;[... - 10.231];]10.231 - 20.079];]20.079 - ...]
DIGO;0;GG;;;;.5;.9;.5;1.2;;;;;1;1;;25.158;12.104;11.186;1.139;2.322;[... - 1.139];]1.139 - 2.322];]2.322 - ...]
FOLATESGL;0;GG;;;;481;1212;;;;;;;1;1;;17.472;14.658;0;693.791;0;[... -693.791];]693.791 - ...];
LH;0;GG;;;;1.7;8.6;1.7;8.6;;;;;1;1;;9.338;9.923;8.436;12.479;36.815;[... - 12.479];]12.479 - 36.815];]36.815 - ...]
LH;1;GG;2;;;;;;;;;;;1;1;;9.338;9.923;8.436;12.479;36.815;[... - 12.479];]12.479 - 36.815];]36.815 - ...]
E2;0;GG;;;;;;;;;;;;1;1;;19.376;7.42;12.855;130.959;331.16;[... - 130.959];]130.959 - 331.16];]331.16 - ...]
PCT;0;GG;;;;0;.5;0;2;;;;;1;1;;8.988;10.744;0;4.958;0;[... -4.958];]4.958 - ...];
PCT;1;GG;;0;2;0;20;0;20;;;;;1;1;;8.988;10.744;0;4.958;0;[... -4.958];]4.958 - ...];
PRG;1;GG;;;;.05;.15;.05;.15;;;;;1;1;;25.838;9.442;7.809;7.395;18.711;[... - 7.395];]7.395 - 18.711];]18.711 - ...]
PRG;2;GG;2;;;;;;;;;;;1;1;;25.838;9.442;7.809;7.395;18.711;[... - 7.395];]7.395 - 18.711];]18.711 - ...]
T3L;2;GG;;;;3.1;6.8;3;8.5;;;;;1;1;;15.658;6.247;5.642;4.875;10.556;[... - 4.875];]4.875 - 10.556];]10.556 - ...]
